Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,0.0319195,-0.0264674,-1.32177,888.622,1250.72,88.1537
2,0,0.0393933,-0.0323138,-1.32169,888.637,1250.76,88.215
3,0,0.034843,-0.028888,-1.3215,888.638,1250.69,88.1834
4,0,0.0378958,-0.0314951,-1.32183,888.664,1250.76,88.1802
5,0,0.0385145,-0.0319353,-1.32171,888.656,1250.71,88.2367
6,0,0.0385462,-0.0313025,-1.32167,888.634,1250.73,88.2386
7,0,0.010806,-0.00237927,-1.31885,888.192,1250.47,88.9774
8,0,-0.000980542,0.0100808,-1.31899,888.094,1250.51,89.2674
9,0,0.00298944,0.00662134,-1.31893,888.085,1250.56,89.2365
10,0,0.00848127,0.00258081,-1.31846,888.066,1250.59,89.2812
11,0,0.00198113,0.00728063,-1.31887,888.106,1250.53,89.254
12,0,0.00501155,0.00486626,-1.3188,888.084,1250.65,89.2482
13,0,0.005597,0.0048371,-1.31881,888.059,1250.64,89.3004
14,0,0.00188276,0.00768019,-1.31896,888.033,1250.53,89.2429
15,0,2.60916e-05,0.00925864,-1.31907,888.082,1250.59,89.2216
16,0,0.00565041,0.00436407,-1.31883,888.091,1250.67,89.2294
17,0,0.00274461,0.00742788,-1.31871,888.088,1250.57,89.2158
18,0,0.00560083,0.00485077,-1.31875,888.109,1250.63,89.2913
19,0,3.3591e-05,0.0092007,-1.3188,888.082,1250.59,89.2296
20,0,0.00400699,0.00573123,-1.31874,888.071,1250.54,89.2628
21,0,0.00372593,0.00686143,-1.31878,888.105,1250.57,89.267
22,0,0.00155795,0.00937478,-1.31904,888.134,1250.55,89.2942
23,0,0.000747996,0.00800634,-1.31892,888.112,1250.58,89.2254
24,0,0.000814181,0.00877487,-1.31878,888.078,1250.56,89.2545
25,0,0.00594191,0.00494928,-1.31855,888.084,1250.66,89.2761
26,0,0.00148311,0.00791735,-1.31889,888.096,1250.55,89.2298
27,0,0.00431046,0.00654105,-1.31893,888.132,1250.63,89.3769
28,0,0.00228764,0.00768124,-1.31877,888.118,1250.57,89.205
29,0,0.00270039,0.00720907,-1.31901,888.108,1250.56,89.2128
30,0,0.000479487,0.00909778,-1.31903,888.127,1250.58,89.267
31,0,0.00586306,0.00496526,-1.3186,888.075,1250.67,89.2692
32,0,0.00162396,0.00794037,-1.31874,888.087,1250.57,89.2357
33,0,0.00287517,0.00727195,-1.31885,888.091,1250.54,89.2123
34,0,0.0250536,-0.0168142,-1.31966,888.294,1250.75,88.7249
35,0,0.0195511,-0.0122543,-1.31993,888.316,1250.74,88.6095
36,0,0.015134,-0.00508046,-1.31969,888.221,1250.87,89.0069
37,0,0.015683,-0.00540288,-1.31961,888.24,1250.85,89.0256
38,0,0.0143108,-0.00457427,-1.31977,888.247,1250.83,88.9606
39,0,0.0143357,-0.00453976,-1.31981,888.217,1250.89,89.0188
40,0,0.00943152,-0.00143069,-1.31927,888.188,1250.47,88.9572
41,0,0.00739581,0.00145909,-1.31883,888.099,1250.71,89.0785
42,0,0.0056404,0.00449038,-1.31873,888.105,1250.62,89.2292
43,0,0.00520302,0.00533344,-1.31873,888.078,1250.63,89.2906
44,0,0.00267054,0.00727073,-1.31902,888.08,1250.55,89.2307
45,0,0.00965743,0.00162965,-1.31864,888.087,1250.58,89.2969
46,0,0.00287804,0.00681803,-1.31888,888.099,1250.61,89.2798
47,0,0.00197163,0.00812585,-1.31875,888.088,1250.57,89.2393
48,0,0.00338878,0.00645648,-1.31868,888.087,1250.58,89.2266
49,0,0.00851698,0.00257102,-1.31875,888.097,1250.61,89.2612
50,0,0.00361625,0.0063563,-1.31881,888.083,1250.61,89.2853
51,0,-1.68544e-05,0.00936774,-1.31878,888.102,1250.55,89.2351
52,0,0.00851972,0.00162581,-1.31893,888.079,1250.58,89.2906
53,0,0.00247591,0.00759209,-1.31899,888.098,1250.58,89.228
54,0,0.000545465,0.0087416,-1.31881,888.134,1250.58,89.1861
55,0,0.00409173,0.00575194,-1.3189,888.082,1250.62,89.2544
56,0,0.00621361,0.00425373,-1.31873,888.067,1250.6,89.2939
57,0,0.000474225,0.00876874,-1.31883,888.103,1250.59,89.2378
58,0,0.00365013,0.00590227,-1.31894,888.098,1250.64,89.2395
59,0,0.00102695,0.0085883,-1.3187,888.083,1250.56,89.1919
60,0,0.00915909,0.00154416,-1.3187,888.071,1250.56,89.3112
61,0,0.00410265,0.00638719,-1.31869,888.083,1250.67,89.2317
62,0,0.00503255,0.00486425,-1.31876,888.073,1250.61,89.2768
63,0,0.00634118,0.00396397,-1.31903,888.081,1250.58,89.2987
64,0,0.00401159,0.00602151,-1.31868,888.116,1250.67,89.2651
65,0,0.000484816,0.00884214,-1.31901,888.072,1250.57,89.2451
66,0,0.00690656,0.00375976,-1.3186,888.075,1250.63,89.2543
