Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,-0.0558944,-0.0170418,0.648189,-948.242,-1557.26,96.0001
2,0,-0.0525233,-0.0162913,0.648165,-948.24,-1557.25,95.9937
3,0,-0.0534741,-0.016474,0.6483,-948.244,-1557.24,95.9991
4,0,-0.0514782,-0.0160273,0.648753,-948.093,-1557.22,96.0018
5,0,-0.0521275,-0.015839,0.64818,-948.229,-1557.27,96.0037
6,0,-0.0506035,-0.0155939,0.64884,-948.064,-1557.24,95.9863
7,0,-0.0490878,-0.0157838,0.648757,-948.173,-1557.32,95.9167
8,0,-0.0529626,-0.0160885,0.648247,-948.221,-1557.25,95.9999
9,0,-0.0471606,-0.0153297,0.64782,-948.279,-1557.2,95.9099
10,0,-0.053608,-0.01655,0.648845,-948.06,-1557.25,96.0418
11,0,-0.0532951,-0.0164476,0.648162,-948.222,-1557.25,96.0121
12,0,-0.0519625,-0.016403,0.648309,-948.215,-1557.25,95.9792
13,0,-0.0509781,-0.0160589,0.648765,-948.178,-1557.31,95.9431
14,0,-0.0518702,-0.0160976,0.648134,-948.23,-1557.25,95.974
15,0,-0.0538305,-0.0167398,0.648303,-948.228,-1557.26,96.0117
16,0,-0.0534241,-0.0167827,0.648281,-948.222,-1557.25,95.9914
17,0,-0.0492877,-0.0155625,0.648751,-948.177,-1557.3,95.927
18,0,-0.0524701,-0.016409,0.648242,-948.229,-1557.26,95.9727
19,0,-0.0534327,-0.0162113,0.648126,-948.214,-1557.27,95.9659
20,0,-0.0489877,-0.0152726,0.648728,-948.157,-1557.3,95.9266
21,0,-0.0522205,-0.0161466,0.648221,-948.222,-1557.26,95.9745
22,0,-0.0512681,-0.0159783,0.648218,-948.215,-1557.26,95.9252
23,0,-0.0494098,-0.0158794,0.648778,-948.166,-1557.32,95.9212
24,0,-0.0522069,-0.0161802,0.648169,-948.23,-1557.25,95.9523
25,0,-0.0526652,-0.0163382,0.648878,-948.1,-1557.25,96.0148
26,0,-0.0466783,-0.015532,0.647837,-948.264,-1557.21,95.8642
27,0,-0.0528933,-0.0161517,0.648312,-948.194,-1557.27,95.9735
28,0,-0.05292,-0.0165002,0.648214,-948.231,-1557.24,95.9816
29,0,-0.0512887,-0.0162264,0.648444,-948.21,-1557.24,95.969
30,0,-0.0531173,-0.0164338,0.64806,-948.219,-1557.25,95.9998
31,0,-0.0441815,-0.0150603,0.648362,-948.206,-1557.24,95.846
32,0,-0.0488687,-0.0155579,0.648683,-948.177,-1557.3,95.9535
33,0,-0.051928,-0.0160413,0.648309,-948.216,-1557.25,96.023
34,0,-0.0537601,-0.0166223,0.648225,-948.231,-1557.25,95.9959
35,0,-0.0517586,-0.0161372,0.648291,-948.217,-1557.26,95.9623
36,0,-0.0465655,-0.0152213,0.64772,-948.272,-1557.2,95.8507
37,0,-0.0505848,-0.01609,0.648857,-948.167,-1557.31,95.944
38,0,-0.050346,-0.015638,0.648777,-948.086,-1557.24,95.9976
39,0,-0.0502938,-0.0154082,0.648272,-948.213,-1557.26,95.9734
40,0,-0.0470256,-0.0155934,0.647846,-948.275,-1557.19,95.841
41,0,-0.0523835,-0.0161507,0.648174,-948.211,-1557.26,95.9707
42,0,-0.0539791,-0.01663,0.648172,-948.243,-1557.25,95.988
43,0,-0.0526244,-0.0161864,0.648308,-948.209,-1557.26,95.983
44,0,-0.0518637,-0.0161172,0.648286,-948.222,-1557.25,95.9554
45,0,-0.0528362,-0.0162794,0.648208,-948.225,-1557.26,95.9451
46,0,-0.0539918,-0.0165272,0.64819,-948.228,-1557.26,95.9703
47,0,-0.0518352,-0.0160731,0.648264,-948.241,-1557.25,96.0168
48,0,-0.0537474,-0.0167636,0.64824,-948.255,-1557.25,96.0205
49,0,-0.0537659,-0.0164258,0.648227,-948.232,-1557.25,95.9945
50,0,-0.0518818,-0.0159806,0.6481,-948.243,-1557.24,95.9795
51,0,-0.0526051,-0.0162057,0.64828,-948.203,-1557.25,95.96
52,0,-0.0526948,-0.016128,0.648848,-948.094,-1557.23,96.0139
53,0,-0.0525544,-0.0161356,0.64824,-948.214,-1557.25,95.975
54,0,-0.0529455,-0.0164885,0.648205,-948.23,-1557.25,96.0085
55,0,-0.054326,-0.0165423,0.648134,-948.234,-1557.25,96.0301
56,0,-0.0515703,-0.0160214,0.64821,-948.212,-1557.25,96.0054
57,0,-0.0529812,-0.0162321,0.648255,-948.193,-1557.24,96.0131
58,0,-0.0536814,-0.0164329,0.648272,-948.227,-1557.26,95.9772
59,0,-0.052971,-0.0160076,0.648209,-948.213,-1557.24,96.0096
60,0,-0.0521787,-0.0162,0.648143,-948.226,-1557.27,96.0049
61,0,-0.0532311,-0.0165729,0.648263,-948.234,-1557.25,95.9712
62,0,-0.0526537,-0.0164541,0.64819,-948.223,-1557.27,95.9682
63,0,-0.0466326,-0.0151524,0.64947,-948.02,-1557.29,95.9163
64,0,-0.0530381,-0.0163724,0.648187,-948.213,-1557.26,95.9791
65,0,-0.0513621,-0.0156665,0.648126,-948.25,-1557.25,96.021
66,0,-0.0508807,-0.0157167,0.648844,-948.084,-1557.23,95.9976
67,0,-0.052708,-0.0161952,0.648234,-948.218,-1557.24,95.9569
68,0,-0.0523131,-0.0162388,0.648224,-948.212,-1557.23,95.9184
69,0,-0.05474,-0.0167235,0.648169,-948.237,-1557.26,96.006
70,0,-0.0528763,-0.0163942,0.64818,-948.232,-1557.25,96.001
71,0,-0.0521832,-0.0162484,0.648258,-948.222,-1557.26,95.9682
72,0,-0.0525493,-0.0161425,0.64819,-948.223,-1557.25,95.9853
73,0,-0.0548733,-0.0168296,0.648179,-948.236,-1557.25,96.0134
74,0,-0.0534079,-0.0164835,0.648227,-948.217,-1557.24,95.9851
75,0,-0.053313,-0.0165217,0.648144,-948.21,-1557.22,95.9585
76,0,-0.0520491,-0.0160415,0.648279,-948.205,-1557.24,95.9253
77,0,-0.0515665,-0.0162986,0.648307,-948.223,-1557.25,95.9844
78,0,-0.0528166,-0.016389,0.648142,-948.23,-1557.22,96.0415
79,0,-0.0530448,-0.0164364,0.648107,-948.24,-1557.22,96.0425
80,0,-0.0514388,-0.0161981,0.648946,-948.099,-1557.19,96.0793
81,0,-0.0509583,-0.0158541,0.648376,-948.164,-1557.2,95.9608
82,0,-0.0517889,-0.0163411,0.648223,-948.187,-1557.19,95.9259
83,0,-0.054683,-0.0166837,0.648113,-948.239,-1557.24,95.9847
84,0,-0.0535679,-0.0165781,0.648229,-948.243,-1557.22,96.1161
85,0,-0.0537884,-0.016821,0.648272,-948.267,-1557.21,96.1789
86,0,-0.0523345,-0.0160387,0.648331,-948.21,-1557.21,95.9987
87,0,-0.0523582,-0.0165142,0.648405,-948.225,-1557.23,95.9887
