Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.0379149,-0.0135847,0.622451,-946.928,-1552.5,95.0734,,,,,,,,,,,,,,,,,,
2,0,-0.0370885,-0.012698,0.622392,-946.958,-1552.52,95.2215,,,,,,,,,,,,,,,,,,
3,0,-0.0521939,-0.0152676,0.6216,-947.049,-1552.53,95.4034,,,,,,,,,,,,,,,,,,
4,0,-0.0479077,-0.0141585,0.621549,-947.072,-1552.5,95.4351,,,,,,,,,,,,,,,,,,
5,0,-0.0486113,-0.0146096,0.621542,-947.031,-1552.43,95.3511,,,,,,,,,,,,,,,,,,
6,0,-0.0479457,-0.0143769,0.621602,-947.027,-1552.44,95.3427,,,,,,,,,,,,,,,,,,
7,0,-0.0505114,-0.0147568,0.621564,-947.05,-1552.5,95.4112,,,,,,,,,,,,,,,,,,
8,0,-0.0432813,-0.0130295,0.62166,-947.035,-1552.41,95.3533,,,,,,,,,,,,,,,,,,
9,0,-0.0491734,-0.0147725,0.621643,-947.014,-1552.44,95.3331,,,,,,,,,,,,,,,,,,
10,0,-0.0446685,-0.0135312,0.621488,-947.043,-1552.45,95.3628,,,,,,,,,,,,,,,,,,
11,0,-0.0476302,-0.0145061,0.621729,-947.026,-1552.45,95.3479,,,,,,,,,,,,,,,,,,
12,0,-0.0466604,-0.0140389,0.621753,-947.024,-1552.44,95.3577,,,,,,,,,,,,,,,,,,
13,0,-0.0473875,-0.0143712,0.62142,-947.02,-1552.45,95.3512,,,,,,,,,,,,,,,,,,
14,0,-0.0489653,-0.0142247,0.62146,-947.065,-1552.48,95.4354,,,,,,,,,,,,,,,,,,
15,0,-0.0432408,-0.0129114,0.621531,-947.037,-1552.43,95.3911,,,,,,,,,,,,,,,,,,
16,0,-0.0440747,-0.0132169,0.621363,-947.035,-1552.43,95.3667,,,,,,,,,,,,,,,,,,
17,0,-0.0487388,-0.0146612,0.621533,-947.015,-1552.44,95.3299,,,,,,,,,,,,,,,,,,
18,0,-0.0476533,-0.0144803,0.621635,-947.015,-1552.44,95.3364,,,,,,,,,,,,,,,,,,
19,0,-0.0445393,-0.0134444,0.621523,-947.05,-1552.42,95.3556,,,,,,,,,,,,,,,,,,
20,0,-0.0527077,-0.0154543,0.621773,-947.055,-1552.51,95.3981,,,,,,,,,,,,,,,,,,
21,0,-0.0494974,-0.0146171,0.621658,-947.03,-1552.52,95.3746,,,,,,,,,,,,,,,,,,
22,0,-0.0479037,-0.0145571,0.62151,-947.038,-1552.44,95.3383,,,,,,,,,,,,,,,,,,
23,0,-0.048098,-0.0146206,0.621596,-947.034,-1552.46,95.3065,,,,,,,,,,,,,,,,,,
24,0,-0.0475716,-0.0143423,0.621603,-947.016,-1552.43,95.313,,,,,,,,,,,,,,,,,,
25,0,-0.060875,-0.0181176,0.621507,-947.047,-1552.5,95.3444,,,,,,,,,,,,,,,,,,
26,0,-0.0477019,-0.0143992,0.621504,-947.015,-1552.45,95.3478,,,,,,,,,,,,,,,,,,
27,0,-0.05238,-0.0154283,0.621736,-947.07,-1552.5,95.4105,,,,,,,,,,,,,,,,,,
28,0,-0.0472949,-0.0139117,0.621523,-947.067,-1552.48,95.4279,,,,,,,,,,,,,,,,,,
29,0,-0.0576686,-0.0171002,0.62138,-947.062,-1552.48,95.3485,,,,,,,,,,,,,,,,,,
30,0,-0.0423727,-0.012935,0.621564,-947.023,-1552.42,95.3243,,,,,,,,,,,,,,,,,,
31,0,-0.06049,-0.0180425,0.621516,-947.051,-1552.51,95.3372,,,,,,,,,,,,,,,,,,
32,0,-0.0471575,-0.0138382,0.621568,-947.072,-1552.48,95.4498,,,,,,,,,,,,,,,,,,
33,0,-0.0474748,-0.0144275,0.621553,-947.01,-1552.43,95.3362,,,,,,,,,,,,,,,,,,
34,0,-0.0474507,-0.0144493,0.621585,-947.005,-1552.44,95.3453,,,,,,,,,,,,,,,,,,
35,0,-0.0557483,-0.0172555,0.621522,-947.022,-1552.41,95.234,,,,,,,,,,,,,,,,,,
36,0,-0.0475516,-0.0145564,0.621506,-947.016,-1552.45,95.2944,,,,,,,,,,,,,,,,,,
37,0,-0.0527081,-0.0156154,0.621663,-947.032,-1552.51,95.3847,,,,,,,,,,,,,,,,,,
38,0,-0.0513953,-0.0150507,0.621523,-947.037,-1552.49,95.4221,,,,,,,,,,,,,,,,,,
