Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.00425134,0.0101937,-1.70732,-13.5839,1026.9,96.8146,,,,,,,,,,,,,,,,,,
2,0,0.000148372,0.00345103,-1.70693,-13.6146,1027.05,96.742,,,,,,,,,,,,,,,,,,
3,0,0.00052109,0.00300657,-1.70694,-13.619,1027.04,96.752,,,,,,,,,,,,,,,,,,
4,0,-0.000411603,0.00419449,-1.70697,-13.6081,1027.04,96.7496,,,,,,,,,,,,,,,,,,
5,0,-0.000542816,0.00482033,-1.70699,-13.6259,1027.03,96.7784,,,,,,,,,,,,,,,,,,
6,0,0.000191831,0.00343054,-1.70698,-13.614,1027.01,96.7343,,,,,,,,,,,,,,,,,,
7,0,-0.00380809,0.0103467,-1.70669,-13.676,1026.92,96.8845,,,,,,,,,,,,,,,,,,
8,0,-0.00039831,0.00432067,-1.70689,-13.6109,1027.03,96.7459,,,,,,,,,,,,,,,,,,
9,0,0.0014326,0.00166615,-1.70711,-13.6004,1027.05,96.6955,,,,,,,,,,,,,,,,,,
10,0,0.000876667,0.00234445,-1.70692,-13.6164,1027.05,96.7327,,,,,,,,,,,,,,,,,,
11,0,0.00109506,0.00218244,-1.70695,-13.6077,1027.03,96.7525,,,,,,,,,,,,,,,,,,
12,0,-0.000501291,0.00443834,-1.70702,-13.6093,1027.03,96.7703,,,,,,,,,,,,,,,,,,
13,0,0.000382618,0.00324025,-1.70686,-13.6216,1027.03,96.7727,,,,,,,,,,,,,,,,,,
14,0,-0.000452074,0.00493153,-1.70728,-13.5758,1026.88,96.7965,,,,,,,,,,,,,,,,,,
15,0,-0.00333684,0.00989714,-1.70653,-13.6724,1026.93,96.904,,,,,,,,,,,,,,,,,,
16,0,0.00139198,0.00178849,-1.70701,-13.6112,1027.05,96.7639,,,,,,,,,,,,,,,,,,
17,0,0.000345596,0.00329932,-1.70698,-13.6017,1027.05,96.7749,,,,,,,,,,,,,,,,,,
18,0,0.000774659,0.00282397,-1.70711,-13.6018,1027.04,96.7565,,,,,,,,,,,,,,,,,,
19,0,-8.56783e-05,0.00374643,-1.70698,-13.6274,1027.05,96.7882,,,,,,,,,,,,,,,,,,
20,0,0.000911941,0.00248013,-1.70701,-13.5948,1027.04,96.7662,,,,,,,,,,,,,,,,,,
21,0,-0.00301855,0.00921631,-1.70671,-13.6561,1026.92,96.8953,,,,,,,,,,,,,,,,,,
22,0,0.00049438,0.00273436,-1.70693,-13.6197,1027.04,96.7352,,,,,,,,,,,,,,,,,,
23,0,0.00123711,0.00202978,-1.70699,-13.6183,1027.04,96.7458,,,,,,,,,,,,,,,,,,
24,0,0.000751712,0.00253729,-1.70694,-13.6216,1027.02,96.7537,,,,,,,,,,,,,,,,,,
25,0,-0.00367881,0.0104994,-1.70673,-13.659,1026.93,96.9308,,,,,,,,,,,,,,,,,,
26,0,0.000474378,0.00383144,-1.70742,-13.5651,1026.91,96.77,,,,,,,,,,,,,,,,,,
27,0,-0.00407786,0.0103884,-1.70668,-13.6761,1026.93,96.8846,,,,,,,,,,,,,,,,,,
28,0,0.00135567,0.00207645,-1.707,-13.6182,1027.04,96.7493,,,,,,,,,,,,,,,,,,
29,0,0.000255769,0.00356844,-1.70697,-13.6199,1027.04,96.7716,,,,,,,,,,,,,,,,,,
30,0,0.000164036,0.0033466,-1.70696,-13.6032,1027.04,96.7321,,,,,,,,,,,,,,,,,,
31,0,0.000828731,0.00260123,-1.70704,-13.5987,1027.04,96.7815,,,,,,,,,,,,,,,,,,
32,0,0.00103847,0.00226655,-1.70694,-13.6124,1027.03,96.7432,,,,,,,,,,,,,,,,,,
33,0,-5.06461e-05,0.00371523,-1.70701,-13.6174,1027.05,96.7662,,,,,,,,,,,,,,,,,,
34,0,0.000787744,0.00257415,-1.7069,-13.6263,1027.03,96.7333,,,,,,,,,,,,,,,,,,
35,0,-0.00134956,0.00616845,-1.70736,-13.5737,1026.91,96.8185,,,,,,,,,,,,,,,,,,
36,0,0.000875286,0.00270513,-1.707,-13.6023,1027.04,96.7495,,,,,,,,,,,,,,,,,,
37,0,0.000732317,0.00244854,-1.70695,-13.6072,1027.03,96.7366,,,,,,,,,,,,,,,,,,
38,0,-0.00285189,0.00887863,-1.70681,-13.6534,1026.93,96.9032,,,,,,,,,,,,,,,,,,
39,0,0.000695747,0.00378587,-1.70734,-13.5644,1026.91,96.8146,,,,,,,,,,,,,,,,,,
40,0,0.000443145,0.00302792,-1.70708,-13.6044,1027.04,96.7561,,,,,,,,,,,,,,,,,,
41,0,0.00122003,0.00184462,-1.70711,-13.5989,1027.05,96.7239,,,,,,,,,,,,,,,,,,
42,0,-0.000624358,0.00477342,-1.70704,-13.6086,1027.02,96.7844,,,,,,,,,,,,,,,,,,
43,0,-0.00306822,0.00941619,-1.7067,-13.6633,1026.95,96.8806,,,,,,,,,,,,,,,,,,
44,0,0.00044051,0.00273061,-1.7071,-13.6001,1027.08,96.7474,,,,,,,,,,,,,,,,,,
45,0,0.000391895,0.0031294,-1.707,-13.6095,1027.04,96.7445,,,,,,,,,,,,,,,,,,
46,0,6.24356e-05,0.00354291,-1.70707,-13.6133,1027.04,96.7698,,,,,,,,,,,,,,,,,,
47,0,0.000275856,0.00321195,-1.70695,-13.6215,1027.03,96.7602,,,,,,,,,,,,,,,,,,
48,0,-0.00366952,0.010324,-1.70678,-13.6662,1026.96,96.925,,,,,,,,,,,,,,,,,,
49,0,0.00026026,0.00361244,-1.70697,-13.6124,1027.05,96.7419,,,,,,,,,,,,,,,,,,
50,0,0.0007567,0.00243432,-1.70696,-13.6037,1027.04,96.7314,,,,,,,,,,,,,,,,,,
51,0,0.000765151,0.00263796,-1.70706,-13.6198,1027.02,96.744,,,,,,,,,,,,,,,,,,
52,0,0.00136717,0.00214086,-1.70703,-13.6139,1027.03,96.7314,,,,,,,,,,,,,,,,,,
53,0,4.80593e-05,0.00422591,-1.70734,-13.5787,1026.91,96.7705,,,,,,,,,,,,,,,,,,
54,0,0.000163401,0.00313733,-1.70697,-13.6349,1027.06,96.7432,,,,,,,,,,,,,,,,,,
55,0,0.00021248,0.00344049,-1.70696,-13.6186,1027.05,96.736,,,,,,,,,,,,,,,,,,
56,0,-0.00341059,0.00968544,-1.70683,-13.6417,1026.94,96.89,,,,,,,,,,,,,,,,,,
57,0,0.000571585,0.00330918,-1.70696,-13.6313,1027.05,96.7638,,,,,,,,,,,,,,,,,,
58,0,0.000812168,0.00242601,-1.70705,-13.6032,1027.06,96.7305,,,,,,,,,,,,,,,,,,
59,0,0.000282017,0.00329971,-1.70699,-13.6162,1027.05,96.7407,,,,,,,,,,,,,,,,,,
60,0,0.00140358,0.00180963,-1.70702,-13.609,1027.05,96.716,,,,,,,,,,,,,,,,,,
61,0,4.47171e-05,0.00371853,-1.70704,-13.6128,1027.05,96.7726,,,,,,,,,,,,,,,,,,
62,0,-0.000391634,0.00393634,-1.70696,-13.606,1027.05,96.764,,,,,,,,,,,,,,,,,,
63,0,2.17637e-05,0.00451574,-1.70746,-13.5558,1026.9,96.8145,,,,,,,,,,,,,,,,,,
64,0,-0.000173159,0.00380305,-1.70705,-13.6082,1027.04,96.7832,,,,,,,,,,,,,,,,,,
65,0,-0.00356821,0.00990469,-1.70665,-13.6607,1026.94,96.9194,,,,,,,,,,,,,,,,,,
66,0,0.00212894,0.000947821,-1.70711,-13.592,1027.03,96.7292,,,,,,,,,,,,,,,,,,
67,0,-0.00153159,0.00651109,-1.70731,-13.5804,1026.89,96.8085,,,,,,,,,,,,,,,,,,
68,0,-4.70748e-05,0.00381896,-1.70695,-13.6002,1027.05,96.7621,,,,,,,,,,,,,,,,,,
69,0,-0.00255862,0.00861096,-1.70682,-13.6478,1026.94,96.885,,,,,,,,,,,,,,,,,,
70,0,0.000225002,0.00311881,-1.70698,-13.6155,1027.03,96.7361,,,,,,,,,,,,,,,,,,
71,0,0.00062772,0.00278249,-1.70713,-13.6138,1027.04,96.7374,,,,,,,,,,,,,,,,,,
72,0,0.000409495,0.00304467,-1.70723,-13.6102,1027.06,96.7335,,,,,,,,,,,,,,,,,,
